City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Goderich,CA,2020-12-09 08:54:33,43.75,-81.72,35.6,80,100,17.22,overcast clouds,0,0
1,Torbay,CA,2020-12-09 08:54:34,47.67,-52.73,42.01,93,90,13.87,moderate rain,0,0
2,Nanortalik,GL,2020-12-09 08:54:34,60.14,-45.24,29.53,85,0,6.06,clear sky,0,0
3,Mataura,NZ,2020-12-09 08:54:35,-46.19,168.86,59.0,76,72,1.01,broken clouds,0,0
4,Clonakilty,IE,2020-12-09 08:54:35,51.62,-8.87,42.8,93,75,6.93,broken clouds,0,0
5,Mahebourg,MU,2020-12-09 08:54:35,-20.41,57.7,80.6,65,75,16.11,shower rain,0,0
6,Mercedes,AR,2020-12-09 08:54:36,-34.65,-59.43,63.0,90,11,1.01,few clouds,0,0
7,Dingle,PH,2020-12-09 08:54:36,11.0,122.67,79.79,87,96,5.75,overcast clouds,0,0
8,Qaanaaq,GL,2020-12-09 08:54:36,77.48,-69.36,0.0,84,100,3.47,overcast clouds,0,0
9,Dickinson,US,2020-12-09 08:54:37,29.46,-95.05,53.01,93,1,6.69,clear sky,0,0
10,Usinsk,RU,2020-12-09 08:53:28,65.99,57.53,25.84,98,98,11.39,overcast clouds,0,0
11,Hobart,AU,2020-12-09 08:50:07,-42.88,147.33,64.4,42,0,16.11,clear sky,0,0
12,Fortuna,US,2020-12-09 08:54:37,40.6,-124.16,48.99,96,98,3.51,overcast clouds,0,0
13,New Norfolk,AU,2020-12-09 08:54:37,-42.78,147.06,62.6,39,40,17.22,scattered clouds,0,0
14,Atuona,PF,2020-12-09 08:54:38,-9.8,-139.03,77.61,79,4,18.54,light rain,0,0
15,Avarua,CK,2020-12-09 08:54:38,-21.21,-159.78,78.8,83,1,11.41,clear sky,0,0
16,Cidreira,BR,2020-12-09 08:54:38,-30.18,-50.21,66.16,94,20,5.23,few clouds,0,0
17,Iqaluit,CA,2020-12-09 08:54:38,63.75,-68.51,23.0,73,75,10.29,broken clouds,0,0
18,Lompoc,US,2020-12-09 08:54:38,34.64,-120.46,53.6,40,90,9.17,overcast clouds,0,0
19,Hilo,US,2020-12-09 08:51:42,19.73,-155.09,73.4,78,90,5.82,overcast clouds,0,0
20,Zelenoborskiy,RU,2020-12-09 08:54:39,66.84,32.36,25.0,25,31,10.76,scattered clouds,0,0
21,Hithadhoo,MV,2020-12-09 08:54:39,-0.6,73.08,81.99,67,0,7.65,clear sky,0,0
22,Busselton,AU,2020-12-09 08:54:40,-33.65,115.33,71.01,64,0,5.01,clear sky,0,0
23,Albany,US,2020-12-09 08:51:45,42.6,-73.97,25.0,92,90,2.89,overcast clouds,0,0
24,Port Alfred,ZA,2020-12-09 08:54:40,-33.59,26.89,72.73,72,77,15.77,broken clouds,0,0
25,Georgetown,MY,2020-12-09 08:52:10,5.41,100.34,91.4,55,20,9.17,few clouds,0,0
26,Myrtle Beach,US,2020-12-09 08:51:02,33.69,-78.89,35.6,74,1,3.36,clear sky,0,0
