City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Goderich,CA,35.6,overcast clouds,43.75,-81.72,Harmony Inn
1,Torbay,CA,42.01,moderate rain,47.67,-52.73,Gallows Cove
2,Nanortalik,GL,29.53,clear sky,60.14,-45.24,"NTS Rooms, Nanortalik"
4,Clonakilty,IE,42.8,broken clouds,51.62,-8.87,Inchydoney Island Lodge & Spa
8,Qaanaaq,GL,0.0,overcast clouds,77.48,-69.36,Qaanaaq Hotel
10,Usinsk,RU,25.84,overcast clouds,65.99,57.53,Dobro Pozhalovaty
12,Fortuna,US,48.99,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
17,Iqaluit,CA,23.0,broken clouds,63.75,-68.51,Frobisher Inn
20,Zelenoborskiy,RU,25.0,scattered clouds,66.84,32.36,Turisticheskaya baza
23,Albany,US,25.0,overcast clouds,42.6,-73.97,
26,Myrtle Beach,US,35.6,clear sky,33.69,-78.89,Bay View Resort Myrtle Beach
29,Saint George,US,39.2,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
36,Verkhnetulomskiy,RU,28.4,broken clouds,68.61,31.8,Отель Уют
40,Westport,US,28.99,clear sky,41.14,-73.36,Norwalk Inn
45,Ushuaia,AR,46.4,shower rain,-54.8,-68.3,Albatros Hotel
49,Jamestown,US,32.0,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
50,Pudozh,RU,24.04,clear sky,61.81,36.53,Guest-House na Transportnoy
54,Norman Wells,CA,-7.6,broken clouds,65.28,-126.83,Heritage Hotel
55,Ilulissat,GL,19.4,overcast clouds,69.22,-51.1,Hotel Arctic
58,Palmer,US,21.0,clear sky,42.16,-72.33,Wedgewood Motel
62,Punta Arenas,CL,48.2,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
64,Pangnirtung,CA,22.42,overcast clouds,66.15,-65.71,Kilabuk Lodge
65,Pevek,RU,5.16,light snow,69.7,170.31,Severnoye Zoloto
66,Starodubskoye,RU,36.25,overcast clouds,44.56,44.02,
67,La Rioja,ES,41.0,broken clouds,42.25,-2.5,Casa Concejos
71,Bira,RU,10.45,few clouds,49.0,132.47,Gostitsa Edel'veys
72,Saskylakh,RU,-16.94,overcast clouds,71.92,114.08,
73,Shihezi,CN,21.49,clear sky,44.3,86.03,Home Inn Shihezi Dongwu Road Century Square
74,Ostrovnoy,RU,25.63,overcast clouds,68.05,39.51,
76,Lincoln,US,46.0,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
81,Dauriya,RU,4.05,broken clouds,49.93,116.87,
83,Asau,RO,28.99,overcast clouds,46.43,26.4,Casa Mika Ciobanus
88,High Level,CA,12.2,clear sky,58.52,-117.14,Days Inn by Wyndham High Level
89,Hunenberg,CH,35.01,mist,47.18,8.43,APARTHOTEL - Welcoming l Urban Feel l Design
90,Tilichiki,RU,3.63,overcast clouds,60.47,166.1,
95,Berlevag,NO,33.8,broken clouds,70.86,29.09,Kvitbrakka
97,Chingirlau,KZ,13.8,clear sky,51.09,54.08,
99,Thompson,CA,32.0,overcast clouds,55.74,-97.86,Burntwood Hotel
101,Sebinkarahisar,TR,39.65,overcast clouds,40.29,38.42,Sebinkarahisar Ogretmenevi
104,Whitefish,US,35.01,mist,48.41,-114.34,Best Western Rocky Mountain Lodge
105,Xiaoyi,CN,44.15,broken clouds,34.62,109.7,
106,Zhaoyuan,CN,37.51,light rain,37.36,120.4,Super 8 Hotel Yantai Zhaoyuan Bus Terminal Branch
109,Mende,FR,32.0,overcast clouds,44.67,3.5,Le Plateau du Roy
111,New Richmond,US,24.8,clear sky,45.12,-92.54,Sky-Palace Inn & Suites New Richmond
114,Marostica,IT,46.0,light rain,45.75,11.66,Albergo Due Mori
116,Cherskiy,RU,-18.96,overcast clouds,68.75,161.3,Gostinitsa
117,Lasa,IT,43.0,fog,46.62,10.7,Pension Feldgärtenhof
119,Khorol,UA,26.01,broken clouds,49.78,33.28,Castle Motel
125,Hasaki,JP,50.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
126,Englehart,CA,30.2,light snow,47.82,-79.87,"The Englehart Motel & Restaurant- Best Hotel & Motel in Englehart ,Ontario,Canada"
127,Khatanga,RU,-29.38,overcast clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
129,Longyearbyen,SJ,28.4,light shower snow,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
132,Chokurdakh,RU,-28.16,overcast clouds,70.63,147.92,
134,Akdepe,TM,24.8,clear sky,42.06,59.38,Мой дом
139,Muravlenko,RU,-2.67,broken clouds,63.79,74.52,Hostel Rus Muravlenko
140,Tasiilaq,GL,15.8,clear sky,65.61,-37.64,The Red House
142,Laguna,US,46.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
145,Pultusk,PL,30.0,broken clouds,52.7,21.08,Zamek Pułtusk Dom Polonii
146,Billings,US,50.0,broken clouds,45.78,-108.5,Best Western Plus Clocktower Inn
147,Poronaysk,RU,21.56,scattered clouds,49.22,143.12,Avtovokzal Khostel Stolovaya
148,Dandong,CN,32.11,overcast clouds,40.13,124.39,Yiranju Farmstay
154,Never,FR,37.0,mist,46.99,3.16,Hôtel Kyriad Nevers Centre
155,Mayo,US,32.0,clear sky,38.89,-76.51,Resorts Resource Group International
156,Hovd,MN,10.78,light snow,48.01,91.64,Buyant Hotel
157,Kodiak,US,32.0,light snow,57.79,-152.41,Best Western Kodiak Inn and Convention Center
163,Bud,US,35.01,clear sky,39.45,-86.18,
165,Chapais,CA,5.0,overcast clouds,49.78,-74.85,Hôtel Opémiska
167,Bonavista,CA,37.0,light rain,48.65,-53.11,Abbott's Bed & Breakfast
169,Dikson,RU,-4.05,overcast clouds,73.51,80.55,
170,Severo-Kurilsk,RU,25.57,snow,50.68,156.12,Kak Doma
172,Upernavik,GL,23.85,light snow,72.79,-56.15,Gina's Guesthouse - Upernavik
173,Tuktoyaktuk,CA,0.1,overcast clouds,69.45,-133.04,End of The Road Ltd.
174,Lieksa,FI,28.51,clear sky,63.32,30.02,Kaatrahovi
175,Gornopravdinsk,RU,15.03,overcast clouds,60.05,69.9,Burovik
177,Sabzevar,IR,44.6,broken clouds,36.21,57.68,پارکینگ وسایل سنگین جنوب
178,Ancud,CL,46.99,broken clouds,-41.87,-73.82,Hotel Arena Gruesa
184,Zhanaozen,KZ,26.76,clear sky,43.3,52.8,K.korabay 28A
186,Leningradskiy,RU,0.86,clear sky,69.38,178.42,
189,Aklavik,CA,3.2,overcast clouds,68.22,-135.01,Aklavik Inn
192,Waynesville,US,30.99,overcast clouds,35.49,-82.99,Best Western Smoky Mountain Inn
201,Provideniya,RU,8.71,clear sky,64.38,-173.3,
202,Inskoy,RU,-1.3,overcast clouds,54.43,86.44,"Baza Otdykha ""Cheshiry"""
203,Khani,GE,50.0,overcast clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
205,Ust-Nera,RU,-33.65,broken clouds,64.57,143.2,Hotel Ust-Nera
207,Portland,US,48.0,mist,45.52,-122.68,The Bidwell Marriott Portland
208,Bethel,US,24.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
210,Torrington,US,23.0,broken clouds,41.8,-73.12,The Yankee Pedlar Inn
211,Batsfjord,NO,33.8,shower rain,70.63,29.72,Adventure Apartements
215,Port Hawkesbury,CA,35.01,broken clouds,45.62,-61.35,MacKenzie House Tourist Home B&B
