City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Hobart,AU,2020-12-09 18:45:05,-42.88,147.33,48.2,61,40,14.99,scattered clouds,0,0
1,Nikolskoye,RU,2020-12-09 18:48:37,59.7,30.79,24.01,67,0,6.71,clear sky,0,0
2,Tezu,IN,2020-12-09 18:48:37,27.92,96.17,60.37,57,3,2.8,clear sky,0,0
3,Lorengau,PG,2020-12-09 18:48:37,-2.02,147.27,82.72,68,100,4.05,overcast clouds,0,0
4,Iqaluit,CA,2020-12-09 18:48:37,63.75,-68.51,23.0,73,75,16.11,broken clouds,0,0
5,Awbari,LY,2020-12-09 18:48:37,26.59,12.78,54.21,41,0,4.29,clear sky,0,0
6,Atuona,PF,2020-12-09 18:48:38,-9.8,-139.03,78.53,74,0,20.85,clear sky,0,0
7,Victoria,HK,2020-12-09 18:45:35,22.29,114.16,66.0,83,88,7.0,overcast clouds,0,0
8,Praya,CV,2020-12-09 18:48:38,14.92,-23.51,75.2,64,75,17.22,broken clouds,0,0
9,Bengkulu,ID,2020-12-09 18:48:38,-3.8,102.27,74.52,89,100,5.41,overcast clouds,0,0
10,Copala,MX,2020-12-09 18:48:38,16.65,-98.98,85.71,58,0,7.9,clear sky,0,0
11,Saint-Philippe,RE,2020-12-09 18:48:39,-21.36,55.77,75.2,73,75,21.92,light rain,0,0
12,Bitkine,TD,2020-12-09 18:48:39,11.98,18.21,79.88,16,100,6.29,overcast clouds,0,0
13,Pontevedra,ES,2020-12-09 18:47:47,42.43,-8.64,57.99,100,90,10.29,fog,0,0
14,Lebu,CL,2020-12-09 18:48:39,-37.62,-73.65,59.65,63,0,16.98,clear sky,0,0
15,Necochea,AR,2020-12-09 18:44:26,-38.55,-58.74,73.99,47,0,14.07,clear sky,0,0
16,Mataura,NZ,2020-12-09 18:48:40,-46.19,168.86,57.0,91,97,2.84,overcast clouds,0,0
17,Ushuaia,AR,2020-12-09 18:46:40,-54.8,-68.3,53.6,71,75,6.93,shower rain,0,0
18,Leningradskiy,RU,2020-12-09 18:48:40,69.38,178.42,-1.68,86,34,4.88,scattered clouds,0,0
19,Jamestown,US,2020-12-09 18:46:32,42.1,-79.24,34.0,100,90,14.52,light snow,0,0
20,Cabo San Lucas,MX,2020-12-09 18:48:40,22.89,-109.91,82.4,42,75,11.41,broken clouds,0,0
21,Cape Town,ZA,2020-12-09 18:47:44,-33.93,18.42,66.2,77,20,13.87,few clouds,0,0
22,Nanakuli,US,2020-12-09 18:48:41,21.39,-158.15,75.2,88,90,4.7,light rain,0,0
23,Karlskrona,SE,2020-12-09 18:48:41,56.16,15.59,39.2,93,75,13.87,broken clouds,0,0
24,Avera,US,2020-12-09 18:48:41,33.19,-82.53,59.0,47,1,8.05,clear sky,0,0
25,The Valley,AI,2020-12-09 18:48:41,18.22,-63.06,82.0,78,75,6.93,broken clouds,0,0
26,Sulangan,PH,2020-12-09 18:48:42,11.14,123.72,81.27,78,34,6.04,scattered clouds,0,0
27,Busselton,AU,2020-12-09 18:48:42,-33.65,115.33,62.01,89,0,1.99,clear sky,0,0
28,Lagoa,PT,2020-12-09 18:48:42,39.05,-27.98,62.82,89,100,21.52,overcast clouds,0,0
29,Albany,US,2020-12-09 18:43:51,42.6,-73.97,32.0,74,100,3.67,overcast clouds,0,0
30,Upernavik,GL,2020-12-09 18:48:42,72.79,-56.15,23.67,96,100,8.86,overcast clouds,0,0
31,Dejen,ET,2020-12-09 18:48:42,10.17,38.13,55.83,43,0,4.63,clear sky,0,0
32,Salinas,US,2020-12-09 18:48:43,36.68,-121.66,55.4,30,1,12.75,clear sky,0,0
33,Am Timan,TD,2020-12-09 18:48:43,11.03,20.28,78.39,18,78,2.84,broken clouds,0,0
34,Wanning,CN,2020-12-09 18:48:43,18.8,110.4,68.59,90,100,11.07,overcast clouds,0,0
35,Havre-Saint-Pierre,CA,2020-12-09 18:48:44,50.23,-63.6,33.8,69,90,9.17,overcast clouds,0,0
36,Mahebourg,MU,2020-12-09 18:48:44,-20.41,57.7,75.2,83,75,16.11,shower rain,0,0
37,Vanavara,RU,2020-12-09 18:48:44,60.34,102.28,-10.95,89,100,5.75,overcast clouds,0,0
38,Rikitea,PF,2020-12-09 18:48:45,-23.12,-134.97,77.5,77,0,16.06,clear sky,0,0
39,Qaanaaq,GL,2020-12-09 18:48:45,77.48,-69.36,1.17,86,100,3.06,overcast clouds,0,0
40,Arlit,NE,2020-12-09 18:48:45,18.74,7.39,82.63,15,0,8.77,clear sky,0,0
41,San Juan,AR,2020-12-09 18:48:15,-31.54,-68.54,92.39,16,0,6.89,clear sky,0,0
42,Torbay,CA,2020-12-09 18:48:45,47.67,-52.73,39.0,93,90,32.21,overcast clouds,0,0
43,Mount Gambier,AU,2020-12-09 18:48:46,-37.83,140.77,53.6,93,75,14.99,mist,0,0
44,Cabra,ES,2020-12-09 18:48:46,37.47,-4.44,48.0,74,82,2.93,broken clouds,0,0
45,Sao Domingos,BR,2020-12-09 18:48:46,-13.4,-46.32,79.32,70,100,3.02,heavy intensity rain,0,0
46,Kizel,RU,2020-12-09 18:48:46,59.05,57.65,5.0,88,100,3.33,overcast clouds,0,0
47,Norman Wells,CA,2020-12-09 18:48:46,65.28,-126.83,3.2,84,90,6.93,light snow,0,0
48,Tiksi,RU,2020-12-09 18:48:47,71.69,128.87,-14.96,88,100,13.31,overcast clouds,0,0
49,Westport,US,2020-12-09 18:45:11,41.14,-73.36,39.2,55,90,9.17,overcast clouds,0,0
50,Airai,TL,2020-12-09 18:48:47,-8.93,125.41,62.89,98,100,1.7,overcast clouds,0,0
51,Barrow,US,2020-12-09 18:48:48,71.29,-156.79,-9.4,76,1,17.22,clear sky,0,0
52,Bluff,NZ,2020-12-09 18:48:48,-46.6,168.33,57.0,91,100,7.83,overcast clouds,0,0
53,Vaini,TO,2020-12-09 18:48:48,-21.2,-175.2,78.8,88,75,12.75,broken clouds,0,0
54,Opuwo,NA,2020-12-09 18:48:48,-18.06,13.84,76.01,23,73,10.8,broken clouds,0,0
55,Vila Franca Do Campo,PT,2020-12-09 18:48:48,37.72,-25.43,60.8,87,20,12.75,few clouds,0,0
56,Saskylakh,RU,2020-12-09 18:48:49,71.92,114.08,-17.41,87,100,11.68,overcast clouds,0,0
57,Kopavogur,IS,2020-12-09 18:48:49,64.11,-21.91,35.6,69,0,4.7,clear sky,0,0
58,Mount Isa,AU,2020-12-09 18:48:49,-20.73,139.5,84.2,11,100,8.05,overcast clouds,0,0
59,Punta Arenas,CL,2020-12-09 18:46:30,-53.15,-70.92,57.2,47,75,14.99,broken clouds,0,0
60,Ribeira Grande,PT,2020-12-09 18:48:49,38.52,-28.7,64.4,88,75,11.41,broken clouds,0,0
61,Gejiu,CN,2020-12-09 18:48:50,23.31,103.16,45.18,100,53,3.22,broken clouds,0,0
62,Yellowknife,CA,2020-12-09 18:44:59,62.46,-114.35,3.2,84,75,4.7,broken clouds,0,0
63,Khasan,RU,2020-12-09 18:48:50,42.43,130.64,29.62,88,70,3.02,broken clouds,0,0
64,Hasaki,JP,2020-12-09 18:48:50,35.73,140.83,46.4,75,75,9.17,broken clouds,0,0
65,Avarua,CK,2020-12-09 18:48:50,-21.21,-159.78,80.6,78,5,6.93,clear sky,0,0
66,Skelleftea,SE,2020-12-09 18:45:50,64.75,20.95,35.01,87,90,13.87,overcast clouds,0,0
67,Clyde River,CA,2020-12-09 18:48:51,70.47,-68.59,8.6,100,90,2.24,light snow,0,0
68,Coihueco,CL,2020-12-09 18:44:20,-36.62,-71.83,84.2,23,0,10.29,clear sky,0,0
