City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,hobart,AU,2020-12-08 08:02:20,-42.88,147.33,62.01,48,75,18.34
1,kahului,US,2020-12-08 08:02:24,20.89,-156.47,73.0,81,7,5.01
2,sola,VU,2020-12-08 08:03:56,-13.88,167.55,82.6,81,91,3.47
3,kavaratti,IN,2020-12-08 08:03:56,10.57,72.64,86.0,79,40,14.99
4,ilulissat,GL,2020-12-08 08:03:56,69.22,-51.1,21.2,85,100,23.04
5,busselton,AU,2020-12-08 08:03:57,-33.65,115.33,93.99,9,0,11.65
6,ostrovnoy,RU,2020-12-08 08:03:57,68.05,39.51,32.59,95,100,4.97
7,kununurra,AU,2020-12-08 08:03:57,-15.77,128.73,78.8,100,90,5.82
8,malindi,KE,2020-12-08 08:03:57,-3.22,40.12,86.0,70,75,11.41
9,clyde river,CA,2020-12-08 08:03:57,70.47,-68.59,6.8,92,90,9.17
10,yangambi,CD,2020-12-08 08:03:58,0.81,24.43,81.39,71,95,3.06
11,nikolskoye,RU,2020-12-08 08:03:58,59.7,30.79,21.99,73,0,8.95
12,ushuaia,AR,2020-12-08 07:59:45,-54.8,-68.3,46.4,87,75,9.17
13,hermanus,ZA,2020-12-08 08:03:58,-34.42,19.23,72.0,74,100,5.99
14,rikitea,PF,2020-12-08 08:03:58,-23.12,-134.97,76.12,80,0,14.16
15,manono,CD,2020-12-08 08:03:59,-7.3,27.42,83.08,74,25,1.63
16,yellowknife,CA,2020-12-08 08:00:07,62.46,-114.35,3.99,91,40,4.7
17,dingle,PH,2020-12-08 08:03:59,11.0,122.67,82.2,85,87,8.72
18,ocos,GT,2020-12-08 08:03:59,14.51,-92.19,64.0,96,0,4.5
19,port elizabeth,ZA,2020-12-08 08:03:59,-33.92,25.57,73.4,78,20,10.29
20,garissa,KE,2020-12-08 08:04:00,-0.45,39.64,87.71,52,60,11.34
21,kalianget,ID,2020-12-08 08:04:00,-7.05,113.93,85.71,73,100,21.47
22,sao gabriel da cachoeira,BR,2020-12-08 08:04:00,-0.13,-67.09,72.63,97,100,1.54
23,hurghada,EG,2020-12-08 08:04:00,27.26,33.81,75.2,60,0,3.36
24,port hardy,CA,2020-12-08 08:03:07,50.7,-127.42,50.0,93,90,16.11
25,labuhan,ID,2020-12-08 08:04:01,-6.88,112.21,85.51,72,89,21.25
